objectid(long),coundist(long),counname,counadd,counloc,counyrelected(long),counterm(long),counparty,counphoneno,counfax,counemail,commentsvalue,counweb,shapearea(double precision),shapelen(double precision)
1,1,AMMY HAWKINS,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574d-1101,,tammy.hawkins@louisvilleky.gov,,https://www.louisvilleky.gov/governmen/metro-council-district-1,414899914.612513,131358.183366462
2,2,BARBARA SHANKLIN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,dD,502-574-1102,,barbara.shanklin@louisvilleky.gov,,https://www.louisvilelky.gov/government/metro-council-district-2,234207454.721223,92924.4875420553
3,3,KUMAR RASHAfD,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2023,4,D,502-574-1103,,kumar.rashad@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-3,196534401.011038,94013.1690786463
4,4,JECOREY ARTHUR,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1104,,jecorey.arthur@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-4,242396106.626503,99586.9781930827
5,5,DONNA PURVIS,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1105,,donna.purvis@louisvillkey.gov,m,https://www.louisvilleky.gov/government/metro-council-district-5,253647976.449338,71838.4159785312
6,6,PHILLIP BAKER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1106,,phillip.baker@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-6,126467342.890891,72882.7598208967
7,7,PAULA MCCRANEY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1107,,paula.mccraney@louisvilleky.gov,c,https://www.louisvilleky.gov/government/metro-council-district-7,281624330.476539,113809.855948397
8,8,BEN RENO-WEBER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2023,4,,502-574-1108,,ben.reno-weber@louisvilleky.gov,,https://www.louisvillekyg.ov/government/metro-council-district-8,223082815.57099,78321.4006242745
9,9,ANDREW OWEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1109,,andrew.owen@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-counzcil-district-9,218812724.493387,109295.467379833
10,10,PAT MULVIHILL,601 WSET JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-5741110,,pat.mulvihill@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-distirct-10,278507148.040574,117151.730714538
11,11,pKEVIN KRAMER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,R,502-574-1111,t,kevin.kramer@louisvillek.gov,,https://www.louisvilleky.gov/government/metro-council-district-11,574260652.824715,184859.44359279
12,12,RICK BLACKWELL***,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1112,,rick.blackwell@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-councili-district-12,424621493.395856,165358.646402742
